AGL6	AGAMOUS-like 13 (AGL13);AGAMOUS-like 6 (AGL6);SEPALLATA 2 (SEP2);SEPALLATA3 (SEP3)	OsMADS17, MADS17, NMADS3, RMADS213, nmads3;OsMADS1, LHS, lhs1, lhs, lhs2, op, nsr, MADS1, LHS1/OsMADS1, Lhs1, AFO, OsLHS1, OsLG3b, LG3b, qLGY3, LGY3, DLN80, OsDLN80, OLR, OsOLR, GW3p6, OsGW3p6, OsMADS1GW3p6, MADS1GW3p6, qLGY3/OsLG3b/GW3p6;OsMADS24, MADS8, OsMADS8, OsMADS8/24;OsMADS6, MADS6, OsMFO1;OsMADS7, OsMADS45, FDRMADS1, RMADS216, AGL6, M79, MADS45, Os MADS7, Os MADS45, OsMADS7/45
LOC101752677	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;ROOT HAIR DEFECTIVE 6-LIKE 2 (RSL2);root hair defective 6-like 4 (RSL4)	OsbHLH128, bHLH128, OsRSL6, RSL6, DLN190, OsDLN190;OsbHLH130, bHLH130, OsRSL9, RSL9, DLN264, OsDLN264;OsbHLH131, bHLH131, OsRSL5, RSL5, DLN93, OsDLN93;OsbHLH132, bHLH132, OsRSL7, RSL7;OsbHLH133, bHLH133, OsRSL8, RSL8
LOC101752679	FUNCTIONS IN: molecular_function unknown;TAPETUM DETERMINANT 1 (TPD1)	OsTDL1A, TDL1A, OsMIL2, OsTDL1A/MIL2, OsTDL1a;OsTDL1B, TDL1B
LOC101752680	Major facilitator superfamily protein	
LOC101752681	unknown protein	
LOC101752682	BEST Arabidopsis thaliana protein match is: BTB/POZ domain-containing protein (TAIR:AT1G63850.1);BTB/POZ domain-containing protein;PRLI-interacting factor, putative	OsH-BTB1;OsH-BTB9
LOC101752683	GRAS family transcription factor;SCARECROW-like 14 (SCL14)	OsGRAS23, OsGRAS-23, GRAS-23, OsGRAS22, GRAS22;OsSCL14, SCL14, OsGRAS-17, OsGRAS17, GRAS-17, DLN96, OsDLN96, OsGRAS15, GRAS15
LOC101752685	unknown protein	
LOC101752687	post-illumination chlorophyll fluorescence increase (PIFI)	
LOC101752689	cell wall-associated kinase (WAK1);wall-associated kinase 2 (WAK2);wall associated kinase 3 (WAK3);wall associated kinase 4 (WAK4);wall associated kinase 5 (WAK5)	OsWAK13;OsWAK5;OsWAK63;OsWAK80
LOC101752690	RNA methyltransferase family protein	
LOC101752691	MATE efflux family protein	
LOC101752692	ATP-dependent RNA helicase, putative;ENHANCED SILENCING PHENOTYPE 3 (ESP3);maternal effect embryo arrest 29 (MEE29);RNA helicase family protein	mog-4
LOC101752694	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain	OsRRM1-142;OsRRM1-23;OsRRM1-30;OsRRM1-64
LOC101752696	Transducin/WD40 repeat-like superfamily protein	OsSRWD5, OsWD40-73, OsDWD55, DWD55;SRWD1, OsWD40-162, OsDWD57, DWD57;SRWD4, OsWD40-160, OsDWD56, DWD56
LOC101752697	FAD-binding Berberine family protein	
LOC101752698	unknown protein	
LOC101752699	ATCSLA09;cellulose synthase-like A02 (CSLA02);cellulose synthase-like A3 (CSLA03)	OsCslA11, OsCSLA11;OsCslA1, OsCSLA1;OsCslA4, OsCSLA4;OsCslA9, OsCSLA9, OsCesA9, CesA9
LOC101752700	unknown protein	
LOC101752701	Leucine-rich receptor-like protein kinase family protein;phytosulfokin receptor 1 (PSKR1);phytosylfokine-alpha receptor 2 (PSKR2);receptor like protein 2 (RLP2)	OsLRK2, OsPSKR8, PSKR8;OsLRK4, OsPSKR6, PSKR6;OsLRK6, OsPSKR4, PSKR4;OsLRK8, OsPSKR1, PSKR1;OsLRR-RLK1, OsPSKR12, PSKR12, OsPSKR, PSKR
LOC101752704	unknown protein	
LOC101752709	ORGANELLE TRANSCRIPT PROCESSING 81 (OTP81);Pentatricopeptide repeat (PPR) superfamily protein;SLOW GROWTH 1 (SLO1)	OsPLS30;PPR
LOC101752713	Thiolase family protein	
LOC101752714	unknown protein	
LOC101752715	EF-TU receptor (EFR);Leucine-rich repeat protein kinase family protein	OsRLCK24;OsRLCK25
LOC101752718	unknown protein	
LOC101752719	NADH:ubiquinone oxidoreductase intermediate-associated protein 30	
LOC101752721	callose synthase 5 (CALS5);glucan synthase-like 12 (GSL12);glucan synthase-like 1 (GSL1);glucan synthase-like 5 (GSL05)	OsGSL10, CalS3-2, OsCalS3-2;OsGSL3, CalS12, OsCalS12, OsGSL12, GSL12;OsGSL5, OsSTA170, CalS5, OsCalS5
LOC101752723	Pectinacetylesterase family protein	
LOC101752724	don-glucosyltransferase 1 (DOGT1);UDP-glucosyl transferase 73C1 (UGT73C1);UDP-glucosyl transferase 73C6 (UGT73C6);UDP-glucosyl transferase 73D1 (UGT73D1);UDP-Glycosyltransferase superfamily protein	OsUGT98B1;OsUGT98B3
LOC101752725	selenium-binding protein 1 (SBP1);selenium-binding protein 2 (SBP2);selenium-binding protein 3 (SBP3)	Os SBP, OsSBP
LOC101752726	ubiquitin-conjugating enzyme 27 (UBC27);ubiquitin-conjugating enzyme 29 (UBC29);ubiquitin conjugating enzyme 8 (UBC8)	OsUBC18;OsUBC22;OsUBC44;OsUBC5a, OsUBC14, UBC14
LOC101752727	Protein of unknown function (DUF579)	CDC2;CDC3;OsGXMT1
LOC101752728	Transducin/WD40 repeat-like superfamily protein	OsWD40-9, OsPUB71, OsPUB71, PUB71
LOC101752730	CONTAINS InterPro DOMAIN/s: Ankyrin repeat-containing domain (InterPro:IPR020683), Ankyrin repeat (InterPro:IPR002110)	
LOC101752732	unknown protein	
LOC101752734	glyoxylate reductase 1 (GLYR1);glyoxylate reductase 2 (GLYR2)	OsGLYR1, OsGR1, GR1;OsGLYR2, OsGR2, GR2
LOC101752735	ARABIDOPSIS THALIANA K+ RECTIFYING CHANNEL 1 (ATKC1);potassium channel in Arabidopsis thaliana 1 (KAT1);potassium channel in Arabidopsis thaliana 2 (KAT2);potassium channel in Arabidopsis thaliana 3 (KAT3)	OsAKT1, Os-AKT1;OsKAT1, OsKAT3;OsKAT3, OsKAT1, KAT1;OsKAT4;OsNKT5, OsKAT3, KAT3
LOC101752737	delta tonoplast integral protein (DELTA-TIP);tonoplast intrinsic protein 2;tonoplast intrinsic protein 2 (TIP2);tonoplast intrinsic protein 5	OsTIP1;1, TIP1-1, rTIP1;OsTIP1;2, TIP1-2, TIP1.2, TIP1;OsTIP2;1, TIP2-1, TIP2;OsTIP2;2, TIP2-2;OsTIP5;1
LOC101752738	FED A;ferredoxin 1 (FD1);ferredoxin 3 (FD3);ferredoxin 4 (FD4)	Fd1, OsFd1, ADI1, OsADI1;OsFd3, Fd3
LOC101752739	TOXICOS EN LEVADURA 2 (ATL2)	OsRFPH2-2, OsRING323, RING323, OsC3HC4_019, C3HC4_019;OsRING288;OsRING289;OsRING94, OsATL53, ATL53;OsRING96
LOC101752740	glucose-6-phosphate acetyltransferase 1 (GNA1)	OsGNA1, HAG722, OsHAG722;OsHAG719
LOC101752741	calcium sensing receptor (CaS)	OsStr11, OsCAS, Cas
LOC101752742	CONSTITUTIVE EXPRESSION OF PR GENES 5 (CPR5)	OsCPR5-1, CPR5-1, OsRYMV2, OsCPR5.1, CPR5.1;OsCPR5.2
LOC101752743	myb domain protein 36 (MYB36);myb domain protein 68 (MYB68);myb domain protein 84 (MYB84);myb domain protein 87 (MYB87);REGULATOR OF AXILLARY MERISTEMS 2 (RAX2)	OsMYB2-35;OsMYB30, MYB30, Os2R_MYB84, MYB2-101, OsMYB2-101;OsMYB36a, Os2R_MYB75, 2R_MYB75, MYB2-90, OsMYB2-90;OsMYB36c, Os2R_MYB42, 2R_MYB42, MYB2-47, OsMYB2-47;OsMYB55, OsMYB-2, MYB55, MYB-2, OsPL, Os2R_MYB60, 2R_MYB60, MYB2-70, OsMYB2-70
LOC101752744	Chaperone DnaJ-domain superfamily protein	OsDjC23;OsDjC53, DjC53
LOC101752745	KNOTTED1-like homeobox gene 3 (KNAT3);KNOTTED1-like homeobox gene 4 (KNAT4);KNOTTED1-like homeobox gene 5 (KNAT5)	OSH42, OSH44, H45
LOC101752746	unknown protein	
LOC101752747	BRASSINOSTEROID INSENSITIVE 1 (BRI1);BRI1-like 2 (BRL2);BRI1-like 3 (BRL3);BRI1 like (BRL1)	d61*, dwf42, d61, OsBRI1, OSBRI1, BRI1, Os BRI1, Osbri1, OsBRKq1, BRKq1, HFR131, OsHFR131;OsBRI1;OsBRL1;OsBRL3;OsPSKR2, OsPSKR11, PSKR11
LOC101752748	response regulator 3 (ARR3);response regulator 3 (RR3);response regulator 4 (ARR4)	OsRR12, Rra11, OsRR8, RR8, OsRRA11;OsRR13, Rra12, OsRR12, OsRRA12, RR12;OSRR3, OsRR3, rr3, Rra7, OsRRA7;rr5, OsRR5, Rra4, OsRRA4;rr8, OsRR8, Rra13, OsRR15, RR15, OsRRA13
LOC101752749	pyrimidin 4 (PYR4)	
LOC101752750	CONTAINS InterPro DOMAIN/s: Proteasome assembly chaperone 3 (InterPro:IPR018788)	
LOC101752752	Transducin/WD40 repeat-like superfamily protein	SRWD1, OsWD40-162, OsDWD57, DWD57
LOC101752753	starch synthase 2 (SS2);starch synthase 3 (SS3);starch synthase 4 (SS4);SUPPRESSOR OF SALICYLIC ACID INSENSITIVITY 1 (SSI1)	OsSSIIIa, SSIII-2, OsSSIII-2, OsSS3A, SS3A, SS3a, OsSSSIIIa, SSIIIa, Flo5;OsSSIIIb. SSIII-1, SSIIIa;OsSSIVa, SSIV-1, OsSSIV-1;OsSSIVb, SSIV-2, OsSSIV-2, SSIVb, SSIV-2, SSIV2, OsSSIV2
LOC101752754	WD-40 repeat family protein / beige-related	OsWD40-37;OsWD40-48, OsSTA70;OsWD40-90, WD40-90
LOC101752757	alpha/beta-Hydrolases superfamily protein;carboxyesterase 17 (CXE17)	GID1, GID1L2, CXE3.3, OsCXE3.3;Hsr203j, OsHsr203j, CXE1.2, OsCXE1.2;OsCDAP2, CXE7.4, OsCXE7.4;OsCDAP3, CXE7.5, OsCXE7.5;OsCXE7.2
LOC101752761	DWARF 5 (DWF5);FACKEL (FK)	OsFK1;OsFK2
LOC101752763	ARM repeat superfamily protein;SUPER SENSITIVE TO ABA AND DROUGHT2 (SAD2)	
LOC101752764	UDP-glucosyl transferase 78D1 (UGT78D1);UDP-glucosyl transferase 78D2 (UGT78D2);UDP-glucosyl transferase 78D3 (UGT78D3);UDP-Glycosyltransferase superfamily protein	OsEnS-102;OsUGT710C2;qRA2, OsUGT3;UGT, OsUFGT/Os3GT, OsUF3GT, OsUFGT, UFGT, OsLSC6, UF3GT
LOC101752767	beta-1,4-N-acetylglucosaminyltransferase family protein	OsSTA124
LOC101752768	ubiquitin-protein ligase 1 (UPL1);ubiquitin-protein ligase 2 (UPL2);ubiquitin protein ligase 5 (UPL5);ubiquitin protein ligase 6 (UPL6)	OsHECT4, HECT4, OsUPL6;OsHECT6, HECT6, OsUPL1;OsHECT7, HECT7, OsUPL5;OsLARGE2, OsUPL2, UPL2, OsHECT8, HECT8
LOC101752769	E12A11;FLOWERING LOCUS T (FT);PEBP (phosphatidylethanolamine-binding protein) family protein;TWIN SISTER OF FT (TSF)	FT-L 5, OsFTL5, FT-L5;FT-L 6, OsFTL6, FT-L6;FTL, FT-L1, OsFTL1, FTL1;Hd3a, FT, qHD3(t)*, FT-L 2, OsFTL2, FT-L2, FTL2, OsHd3a;OsFTL11;OsFT, osFT, FT-L 4, OsFTL4, FT-L4, FT-1, OsFT-1
LOC101752770	plant glycogenin-like starch initiation protein 1 (PGSIP1);plant glycogenin-like starch initiation protein 2 (PGSIP2);plant glycogenin-like starch initiation protein 5 (PGSIP5);plant glycogenin-like starch initiation protein 6 (PGSIP6)	OsPGSIP-A1, OsGUX1, GUX1, OsGUX1L, OsDGTq1, DGTq1;OsPGSIP-B1;OsPGSIP-B2
LOC101752771	DES-1-LIKE	
LOC101752772	Cupredoxin superfamily protein;uclacyanin 1 (UCC1)	OsUCL16;OsUCL18;OsUCL19;OsUCL31;OsUCL32
LOC101752773	FLOWERING LOCUS D (FLD);LSD1-like 1 (LDL1)	OsHDMA701, HDMA701, OsPAO9, PAO9;OsHDMA702, HDMA702, OsPAO8, PAO8;OsHDMA703, HDMA703, OsPAO10, PAO10
LOC101752775	organic cation/carnitine transporter1 (1-Oct);organic cation/carnitine transporter 2 (2-Oct);organic cation/carnitine transporter 3 (3-Oct);organic cation/carnitine transporter5 (5-Oct);organic cation/carnitine transporter 6 (OCT6)	
LOC101752776	unknown protein	
LOC101752778	unknown protein	
LOC101752780	Arabidopsis NAC domain containing protein 87 (ANAC087);NAC domain containing protein 100 (NAC100);NAC domain containing protein 80 (NAC080)	ONAC039, ONAC39, NAC39, OsCUC1, DLN86, OsDLN86;ONAC045, ONAC45, DLN243, OsDLN243, OsNAM, NAM;ONAC077, NAC77, OsNAC77, NAC300, OsNAC300, ONAC132, NAC132, OsNAC132, DLN250, OsDLN250;OsNAC15, ONAC015, ONAC15, ONAC069, ONAC69;OsNAC1, ONAC027, ONAC27, NAC27, OMTN1, OsNAC1/ONAC027, DLN60, OsDLN60, OsORE1
LOC101752781	ROXY2;Thioredoxin superfamily protein	GRX8, OsGRX8, OsROXY1, ROXY1, OsROXY2, ROXY2, OsWG1, SL, OsSL;OsGRX19;OsGRX28;OsGRX4, OsGrx_C7, Grx_C7
LOC101752787	B120;receptor kinase 1 (RK1);receptor kinase 3 (RK3);S-locus lectin protein kinase family protein	OsRLCK162, SDK6, OsSDK6;OsRLCK163, SDK7, OsSDK7;OsSDK8;SDRLK-32, OsSDRLK-32, OsSDRLK32;SDRLK-53, OsSDRLK-53, OsSDRLK53
LOC101752789	calmodulin 1 (CAM1);calmodulin 3 (CAM3);calmodulin 4 (CAM4);calmodulin 5 (CAM5);calmodulin 6 (CAM6);calmodulin 7 (CAM7)	CALb*, Cal2, CAM1-2, CAM, CaM-1, OsCam1-2, OsCaM1-2;CaM61, OsCaM61, OsCML1, OsCML1d;OsCam1-3, OsCaM1-3, CAM1;OsCaM1, OsCam1-1, OsCaM1-1, CAM3, Cam1-1, OsCAM1.1, CAM1.1;OsCaM3, OsCam3, CaM3;OsCML2;OsCML3, OsSTA271, OsCML3m, OsCML3s
LOC101752791	PIN-FORMED 4 (PIN4);PIN-FORMED 7 (PIN7)	OsPIN2, PIN2, OsLRA1, WAR1, OsWAR1;PIN1A, OsPIN1A, OsPIN1a, REH1, OsPIN1, OsPIN1b, REH1/OsPIN1;PIN1B, OsPIN1B, OsPIN1b, OsPIN1c;PIN1C, OsPIN1C, OsPIN1c, OsPIN1a
LOC101752793	embryonic cell protein 63 (ECP63);late embryogenesis abundant protein, putative / LEA protein, putative	OsLEA17, OsLEA3-2, LEA3-2, LEA1
LOC101752794	cytochrome P450, family 707, subfamily A, polypeptide 1 (CYP707A1);cytochrome P450, family 707, subfamily A, polypeptide 3 (CYP707A3);cytochrome P450, family 716, subfamily A, polypeptide 1 (CYP716A1);cytochrome P450, family 718 (CYP718)	OsCYP716A16
LOC101752795	GTP-binding family protein;P-loop containing nucleoside triphosphate hydrolases superfamily protein	OsRALF-1, OsRALF1, RALF-1
LOC101752796	MIF4G domain-containing protein / MA3 domain-containing protein	
LOC101752797	ATMAK3	
LOC101752798	unknown protein	
LOC101752800	HAD superfamily, subfamily IIIB acid phosphatase 	OsVSP2
LOC101752803	Ubiquitin domain-containing protein	
LOC101752804	Arabidopsis thaliana gibberellin 2-oxidase 1 (ATGA2OX1);gibberellin 2-oxidase 3 (ATGA2OX3);gibberellin 2-oxidase 4 (GA2OX4);gibberellin 2-oxidase 6 (GA2OX6);gibberellin 2-oxidase (GA2OX2)	GA2OX4, OsGA2ox4, ga2ox 4, OsGA2ox-4, OsSBI;OsGA2ox1, ga2ox-1, OsGA2ox-1, ga2ox, ga2ox 1, GA2ox1;OsGA2ox3, ga2ox 3, OsGA2ox-3, GA2ox3, GA2ox-3, GA2ox4;OsGA2ox7;OsGA2ox8
LOC101752806	BRU6;DWARF IN LIGHT 1 (DFL1);GH3.1;GH3.3;WES1	OsGH3-11, OsGH3.11, GH3.11;OsGH3-1, GH3-1, OsGH3.1, GH3.1, OsLC1;OsGH3-2, OsGH3.2, GH3.2;OsGH3-4, OsGH3.4, GH3.4;OsGH3-8, OsMGH3, OsGH3.8, GH3.8, OsGH3-2
LOC101752807	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	LTPG1, OsLTPG1, OsLTPg1, AGP, OsAGP, OsXYLP8, XYLP8, LTPL65;OsLTPG12, OsLTPg12;OsLTPG3, OsLTPg3;OsLTPG4, OsLTPg4
LOC101752811	Serine protease inhibitor (SERPIN) family protein	OsSRP-FLC, OrysaZ2b;OsSRP-FRS, OrysaZxb;OsSRP-LGC, OrysaZ1;OsSRP-LLS, OrysaZ2a;OsSRP-LRS, OsSPN, OrysaZxa
LOC101752813	RNApolymerase sigma subunit 2 (SIG2);RNApolymerase sigma-subunit C (SIGC);RNApolymerase sigma-subunit F (SIGF);sigma factor 4 (SIG4);sigma factor A (SIGA)	OsSIG1, SIG1, Os-SigA, OsSigA, Os Sig1, SIGA;OsSIG2A, OsSig2A;OsSIG2B;OsSIG6, OsSig6
LOC101752814	Nucleotide-diphospho-sugar transferase family protein	
LOC101752816	AtGCP3 interacting protein 1 (GIP1)	
LOC101752817	BTB-POZ and MATH domain 4 (BPM4);BTB-POZ and MATH domain 5 (BPM5);BTB-POZ and MATH domain 6 (BPM6);ETHYLENE-DEPENDENT GRAVITROPISM-DEFICIENT AND YELLOW-GREEN 1 (EGY1)	OsMB10, MB10, OsMB10a, OsMB10b, OsMBTB13, MBTB13;OsMB5, MB5, OsMB5a, OsMB5b, OsMBTB3, MBTB3
LOC101752818	Disease resistance protein (CC-NBS-LRR class) family;RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	Bph9, BPH9/26, Bph26(t), BPH26, Bph18(t), BPH18;Pib-H8, PibH8, OsPibH8
LOC101752819	OPEN STOMATA 1 (OST1);SNF1-related protein kinase 2.2 (SNRK2.2);sucrose nonfermenting 1(SNF1)-related protein kinase 2.3 (SNRK2.3)	OsSAPK10, OsSnRK2.10, SnRK2.10;OsSAPK1, OsSnRK2.1, SnRK2.1;OsSAPK2, OsSnRK2.2, SnRK2.2;OsSAPK8, OsSnRK2.8, SnRK2.8;OsSAPK9, OsSnRK2.9, SnRK2.9
LOC101752820	Major facilitator superfamily protein;Nodulin-like / Major Facilitator Superfamily protein	
LOC101752822	embryo defective 1467 (EMB1467)	
LOC101752826	cytochrome P450, family 76, subfamily C, polypeptide 1 (CYP76C1);cytochrome P450, family 76, subfamily C, polypeptide 2 (CYP76C2);cytochrome P450, family 76, subfamily C, polypeptide 3 (CYP76C3);cytochrome P450, family 76, subfamily C, polypeptide 4 (CYP76C4);cytochrome P450, family 76, subfamily C, polypeptide 6 (CYP76C6)	OsCYP71AB3, OsCYP76C2, CYP76C2;OsCYP71AB9;OsCYP76-16, OsCYP71AB1, CYP71AB1;OsCYP76-17, OsCYP71AB2, CYP71AB2, OsCYP76C4, CYP76C4;OsCYP76-6, OsCYP71AB8, CYP71AB8
LOC101752828	pfkB-like carbohydrate kinase family protein	
LOC101752832	AAA-type ATPase family protein	OsLMR, LRD6-6, OsLRD6-6, SPL-A, OsSPL-A;OsSKD1, SKD1;SKD1
LOC101752833	ACYB-2;cytochrome B561-1 (CYB-1);Cytochrome b561/ferric reductase transmembrane protein family	
LOC101752834	Integrase-type DNA-binding superfamily protein;SHINE 1 (SHN1);shine2 (SHN2);shine3 (SHN3)	Os02ERF, OsSHN1, OsWR1, WR1, OsERF#003, OsERF003, OsERF3, AP2/EREBP#012, AP2/EREBP12;Os06ERF, OsWR2, WR2, OsERF#001, OsERF001, OsERF1, AP2/EREBP#057, AP2/EREBP57, RD1, OsSHN, SHN;OsERF#129, OsERF129, AP2/EREBP#045, AP2/EREBP45;OsWR3, WR3, OsERF#127, OsERF127, AP2/EREBP#023, AP2/EREBP23, OsERF3, ERF3;OsWR4, WR4, OsERF#002, OsERF002, ERF002, OsERF2, AP2/EREBP#100, AP2/EREBP100
LOC101752836	Transducin/WD40 repeat-like superfamily protein	OsWD40-101;OsWD40-127;OsWD40-198;OsWD40-54;OsWD40-89, WD40-89, OsGORI, OsABT, ABT
LOC101752837	C2 calcium/lipid-binding and GRAM domain containing protein	OsC2DP35;OsC2DP49;OsC2DP71;OsNOP, OsC2DP53, C2DP53;OsSTA54, OsC2DP14
LOC101752838	DUF679 domain membrane protein 2 (DMP2);Protein of unknown function (DUF679)	OsDMP1;OsDMP2;OsDMP4
LOC101752839	DWARF 1 (DWF1)	OsBRD2, Dim/dwf1, Dim, dwf1, OsDWF1, DWF1, LTBSG1, OsLTBSG1, LHDD10, OsLHDD10, OsD-LDH3, D-LDH3
LOC101752840	THI1	OsDR8, OsXNP, FOXRED1
LOC101752841	26S proteasome AAA-ATPase subunit RPT5B (RPT5B);AAA-type ATPase family protein;regulatory particle AAA-ATPase 2A (RPT2a);regulatory particle triple-A ATPase 3 (RPT3)	OsRpt2b, Rpt2b;OsRpt3, Rpt3;OsRpt5b, Rpt5b;TBP1, TBPOs-1, OsTBP1, OsRpt5a, Rpt5a, OsRPT5A, OsSPL43;TBPOs-2, OsTBP2, OsRpt2a, Rpt2a, OsRPT2a
LOC101752842	MATERNAL EFFECT EMBRYO ARREST 5 (MEE5);Ribosomal protein S5/Elongation factor G/III/V family protein	
LOC101752843	PPPDE putative thiol peptidase family protein	OsSTA68
LOC101752844	Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
LOC101752847	Mitochondrial transcription termination factor family protein	OsML1, ML1
LOC101752848	MATE efflux family protein	OsMATE1, OsMATE9, MATE9;OsMATE31;OsMATE35;OsMATE47
LOC101752849	DNA topoisomerase, type IA, core;topoisomerase 3alpha (TOP3A)	TOP3;TOP3, TOP3alpha
LOC101752850	GDSL-like Lipase/Acylhydrolase superfamily protein;SGNH hydrolase-type esterase superfamily protein	OsGELP2, OsGELP2a, OsGELP2b;OsGELP63;OsGELP77, OsGELP77a, OsGELP77b;OsGELP78, OsEnS-82, EnS-82, OsGLIP2, GLIP2;OsGELP79
LOC101752851	ALA-interacting subunit 1 (ALIS1);ALA-interacting subunit 5 (ALIS5);LEM3 (ligand-effect modulator 3) family protein / CDC50 family protein	
LOC101752855	UDP-Glycosyltransferase superfamily protein	OscZOG1, cZOG1
LOC101752856	RNA-dependent RNA polymerase family protein	OsRDR3, OsRDR3a;OsRDR4, OsRDR3b
LOC101752860	BPM3;BTB-POZ and MATH domain 1 (BPM1);BTB-POZ and MATH domain 2 (BPM2)	OsMB15, MB15, OsMBTB24, MBTB24;OsMB16, MB16, OsMBTB21, MBTB21;OsMB18, MB18, OsMBTB15, MBTB15;OsMBTB22
LOC101752861	BARELY ANY MERISTEM 1 (BAM1);BARELY ANY MERISTEM 2 (BAM2);BARELY ANY MERISTEM 3 (BAM3);CLAVATA 1 (CLV1)	OsBRR1;OsFON1, fon1, OsRLCK219, RLCK219;OsRLCK117;OsRLCK222
LOC101752862	non-intrinsic ABC protein 6 (NAP6)	OsABCI4, OsISC18
LOC101752864	ubiquitin-specific protease 14 (UBP14)	OsUBP6, OsUBP14, UBP14, OsUCH14, UCH14
LOC101752865	Protein of unknown function (DUF594);unknown protein	
LOC101752866	Glutamyl/glutaminyl-tRNA synthetase, class Ic;ovule abortion 9 (OVA9);Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain	OsERS1;OsERS2
LOC101752868	Sec23/Sec24 protein transport family protein	Sec23a, OsSEC23A;Sec23b, OsSEC23B
LOC101752869	LATE EMBRYOGENESIS ABUNDANT 14 (LEA14);Late embryogenesis abundant protein	Lea14A, OsLEA5, OsEnS-2;OsLEA6;OsLEA8, OsLEA8a, OsLEA8b, OsLEA5, LEA5
LOC101752870	Protein phosphatase 2A regulatory B subunit family protein	
LOC101752871	cell wall-associated kinase (WAK1);wall-associated kinase 2 (WAK2);wall associated kinase 3 (WAK3);wall associated kinase 4 (WAK4);wall associated kinase 5 (WAK5)	OsWAK13;OsWAK22;OsWAK24;OsWAK80;OsWAK89b
LOC101752872	Acetamidase/Formamidase family protein	OsSTA208, OsDGK6
LOC101752873	DNA glycosylase superfamily protein	Sdt97, OsSdt97;TagI;TagI, OsMTE, OsMTF, MTF
LOC101752874	F-box family protein	OsFbox047, OsFbox47, Os_F0754, OsFBX29, FBX29
LOC101752875	calmodulin-binding receptor-like cytoplasmic kinase 2 (CRCK2)	OsRLCK100;OsRLCK120;OsRLCK48
LOC101752876	arabinogalactan protein 16 (AGP16);arabinogalactan protein 20 (AGP20)	OsAGP16, OsAGP6P, AGP6P
LOC101752878	GIBBERELLIC ACID INSENSITIVE (GAI);REPRESSOR OF GA1-3 1 (RGA1);RGA-like 1 (RGL1);RGA-like 2 (RGL2);RGA-like protein 3 (RGL3)	OsRAM1, OsGRAS43, GRAS43;OsSLRL1, OsGAI, OsSLRL, OsGRAS-1, OsGRAS1, GAI, SLRL, GRAS-1, GRAS1;slr1-1, slr1, slr, GAI, OsGAI, OsSLR1, Os SLR1, OsRGA1, OsGRAS-18, OsGRAS-18, GRAS-18, GRAS18, SLR-1
LOC101752879	Integral membrane HRF1 family protein	
LOC101752880	NADPH:quinone oxidoreductase (NQR)	
LOC101752881	ATBFRUCT1;beta-fructofuranosidase 5 (FRUCT5);cell wall invertase 2 (CWINV2)	gif1, CIN2, OsCIN2, OsGIF1, WB1, OsWB1, GIF1/OsCIN2;OsCIN4, OsCIN5, CIN4, CWIN4, OsCWIN4;OsCIN6, OsCIN7, CIN6, CWIN6, OsCWIN6;OSINV1, OsINV1, OsCIN7, OsCIN8;OSINV4, OsINV4, INV4, OsCIN3
LOC101752882	Exonuclease family protein	OsZOS1-01;OsZOS2-16
LOC101752885	FAR1-related sequence 3 (FRS3);FAR1-related sequence 5 (FRS5)	
LOC101752887	Protein kinase superfamily protein	CDKG;2, Orysa;CDKG;2;OsMSRPK1, Orysa;CDKG;1, OsCDKG;1, CDKG;1, CDKG-2, OsCDKG-2
LOC101752888	Leucine-rich repeat family protein	
LOC101752889	ARA12;STOMATAL DENSITY AND DISTRIBUTION (SDD1);Subtilase family protein;Subtilisin-like serine endopeptidase family protein	OsSub10;OsSub11;OsSub30;OsSub41;OsSub47
LOC101752890	Touch 4 (TCH4);xyloglucan endotransglucosylase/hydrolase 12 (XTH12);xyloglucan endotransglucosylase/hydrolase 13 (XTH13);xyloglucan endotransglucosylase/hydrolase 16 (XTH16);xyloglucan endotransglucosylase/hydrolase 25 (XTH25)	OsXTH10;OsXTH11, XTR2, OsXTR2, Meri-5;OsXTH16;OsXTH17, OsXTH8, XTH8;OsXTH18
LOC101752891	CHC1;SWIB/MDM2 domain superfamily protein	OsSWIB
LOC101752892	AICARFT/IMPCHase bienzyme family protein	OsATIC
LOC101752894	germin-like protein 6 (GLP6);RmlC-like cupins superfamily protein	OsGLP12-1, OsCDP12.1, CDP12.1;OsGLP12-2, OsCDP12.2, CDP12.2;OsGLP12-3, OsCDP12.3, CDP12.3;OsGLP12-4, OsCDP12.4, CDP12.4;OsGLP8-9, OsCDP8.9, CDP8.9
LOC101752895	Phototropic-responsive NPH3 family protein	cpt1, OsBTBN2, BTBN2;OsBTBN10;OsBTBN12;OsBTBN17;OsBTBN9
LOC101752896	unknown protein	OsGSE
LOC101752898	embryo sac development arrest 3 (EDA3)	OsPSA2
LOC101752900	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
