HORVU.MOREX.r3.1HG0000040	peroxin 14 (PEX14)	OsPex14, OsPex14p, OsPEX14
HORVU.MOREX.r3.1HG0003310	Pentatricopeptide repeat (PPR) superfamily protein;SLOW GROWTH 1 (SLO1);Tetratricopeptide repeat (TPR)-like superfamily protein	OsDYW5;OsPLS12;OsPLS18
HORVU.MOREX.r3.1HG0003430	Ypt/Rab-GAP domain of gyp1p superfamily protein	
HORVU.MOREX.r3.1HG0003450	beta-galactosidase 15 (BGAL15);beta-galactosidase 7 (BGAL7);beta-galactosidase 8 (BGAL8)	OsBgal12, OsBGal12;OsBgal14, OsBGal14, OsEnS-135, OsMEG2, MEG2;OsBgal15, OsBGal15;OsBgal5, OsBGal5, RMP1;OsBgal8, OsBGal8
HORVU.MOREX.r3.1HG0003470	beta-galactosidase 15 (BGAL15);beta-galactosidase 7 (BGAL7);beta-galactosidase 8 (BGAL8)	OsBgal12, OsBGal12;OsBgal14, OsBGal14, OsEnS-135, OsMEG2, MEG2;OsBgal15, OsBGal15;OsBgal5, OsBGal5, RMP1;OsBgal8, OsBGal8
HORVU.MOREX.r3.1HG0003490	beta-galactosidase 15 (BGAL15);beta-galactosidase 7 (BGAL7);beta-galactosidase 8 (BGAL8)	OsBgal12, OsBGal12;OsBgal14, OsBGal14, OsEnS-135, OsMEG2, MEG2;OsBgal15, OsBGal15;OsBgal5, OsBGal5, RMP1;OsBgal8, OsBGal8
HORVU.MOREX.r3.1HG0003520	beta-galactosidase 15 (BGAL15);beta-galactosidase 7 (BGAL7);beta-galactosidase 8 (BGAL8)	OsBgal12, OsBGal12;OsBgal14, OsBGal14, OsEnS-135, OsMEG2, MEG2;OsBgal15, OsBGal15;OsBgal5, OsBGal5, RMP1;OsBgal8, OsBGal8
HORVU.MOREX.r3.1HG0003550	beta-galactosidase 15 (BGAL15);beta-galactosidase 7 (BGAL7);beta-galactosidase 8 (BGAL8)	OsBgal12, OsBGal12;OsBgal14, OsBGal14, OsEnS-135, OsMEG2, MEG2;OsBgal15, OsBGal15;OsBgal5, OsBGal5, RMP1;OsBgal8, OsBGal8
HORVU.MOREX.r3.1HG0003580	beta-galactosidase 15 (BGAL15);beta-galactosidase 7 (BGAL7);beta-galactosidase 8 (BGAL8)	OsBgal12, OsBGal12;OsBgal14, OsBGal14, OsEnS-135, OsMEG2, MEG2;OsBgal15, OsBGal15;OsBgal5, OsBGal5, RMP1;OsBgal8, OsBGal8
HORVU.MOREX.r3.1HG0003590	beta-galactosidase 15 (BGAL15);beta-galactosidase 7 (BGAL7);beta-galactosidase 8 (BGAL8)	OsBgal12, OsBGal12;OsBgal14, OsBGal14, OsEnS-135, OsMEG2, MEG2;OsBgal15, OsBGal15;OsBgal5, OsBGal5, RMP1;OsBgal8, OsBGal8
HORVU.MOREX.r3.1HG0003600	beta-galactosidase 15 (BGAL15);beta-galactosidase 7 (BGAL7);beta-galactosidase 8 (BGAL8)	OsBgal12, OsBGal12;OsBgal14, OsBGal14, OsEnS-135, OsMEG2, MEG2;OsBgal15, OsBGal15;OsBgal5, OsBGal5, RMP1;OsBgal8, OsBGal8
HORVU.MOREX.r3.1HG0003620	zinc induced facilitator 1 (ZIF1);zinc induced facilitator-like 1 (ZIFL1);zinc induced facilitator-like 2 (ZIFL2)	OsZIFL12, OsVMT, VMT, OsVMT/OsZIFL12;OsZIFL7, OsTOM3, TOM3
HORVU.MOREX.r3.1HG0003630.1.CDS1	Protein of unknown function (DUF594)	
HORVU.MOREX.r3.1HG0003650.1.CDS1	Protein of unknown function (DUF594)	
HORVU.MOREX.r3.1HG0003690	ABC transporter family protein;peroxisomal ABC transporter 1 (PXA1)	OsABCD1, OsABCD1_1, OsABCD1_2;OsABCD2;OsABCD3
HORVU.MOREX.r3.1HG0003780	O-methyltransferase 1 (OMT1);O-methyltransferase family protein	COMT, OsCOMT, ROMT-9, OsCOMT1, OsCAldOMT1, CAldOMT1, OsOMT, OsCOMT15, COMT15, OsSPL42, SPL42;OsCOMTL2, OsCOMT3, COMT3;OsCOMTL5, OsCOMT4, COMT4;OsCOMTL6, OsCOMT5, COMT5, OsCOMTL4, COMTL4;OsNOMT, COMTL3, OsCOMTL3, OsCOMT29, COMT29
HORVU.MOREX.r3.1HG0003820	ABERRANT LATERAL ROOT FORMATION 5 (ALF5);MATE efflux family protein	
HORVU.MOREX.r3.1HG0003860	transcription initiation factor IIA gamma chain / TFIIA-gamma (TFIIA-S)	OsTFIIAgamma1, OsTFIIAc-1, TFIIAc-1, TFIIAgamma-1;xa5, xa-5, Xa5, TFIIAy, OsTFIIAgamma5, TFIIAgamma5, OsTFIIAgamma5/Xa5
HORVU.MOREX.r3.1HG0003900	Pseudouridine synthase family protein	OsTruB1, TruB1;OsTruB2, TruB2;OsTruB5, TruB5
HORVU.MOREX.r3.1HG0003950		OsDICE2, OsLKRT1, LKRT1
HORVU.MOREX.r3.1HG0003980	Ankyrin repeat family protein	
HORVU.MOREX.r3.1HG0004030	RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	
HORVU.MOREX.r3.1HG0004110.1.CDS1	Plant protein of unknown function (DUF868)	OsDUF868.1;OsDUF868.7
HORVU.MOREX.r3.1HG0004130.1.CDS1	Ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (reverse transcriptase)-related family protein	
HORVU.MOREX.r3.1HG0004150	with no lysine (K) kinase 1 (WNK1);with no lysine (K) kinase 3 (WNK3);with no lysine (K) kinase 6 (WNK6);WNK7	OsWNK1;OsWNK2;OsWNK4
HORVU.MOREX.r3.1HG0004150	with no lysine (K) kinase 1 (WNK1);with no lysine (K) kinase 3 (WNK3);with no lysine (K) kinase 6 (WNK6)	OsWNK1;OsWNK2;OsWNK4
HORVU.MOREX.r3.1HG0004160	zinc finger (C3HC4-type RING finger) family protein / BRCT domain-containing protein	OsRFP, OsRING384, RING384
HORVU.MOREX.r3.1HG0004210	Nucleotide excision repair, TFIIH, subunit TTDA	OsREX1-S
HORVU.MOREX.r3.1HG0004220	Granulin repeat cysteine protease family protein;responsive to dehydration 21 (RD21);xylem cysteine peptidase 1 (XCP1);xylem cysteine peptidase 2 (XCP2)	CP, OsSAG12-2;OsCP1, CP1
HORVU.MOREX.r3.1HG0004230	LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1 (LOS1);Ribosomal protein S5/Elongation factor G/III/V family protein	
HORVU.MOREX.r3.1HG0004300	NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13)	OsRYMV3;Xa39, OsXa39, OsRGA5-L2, RGA5-L2, OsRGA5L2, RGA5L2
HORVU.MOREX.r3.1HG0004340	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13)	OsRYMV3;Xa39, OsXa39, OsRGA5-L2, RGA5-L2, OsRGA5L2, RGA5L2
HORVU.MOREX.r3.1HG0004370	Disease resistance protein (CC-NBS-LRR class) family;HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsNLS1;OsPijx;OsRYMV3
HORVU.MOREX.r3.1HG0004380	Disease resistance protein (CC-NBS-LRR class) family;HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	Os11gRGA5, OsRGA5, RGA5-A, RGA5-B, Pi5, Pias-2
HORVU.MOREX.r3.1HG0004410	Disease resistance protein (CC-NBS-LRR class) family	Pi42(t), Pi-42(t)
HORVU.MOREX.r3.1HG0004450	Disease resistance protein (CC-NBS-LRR class) family;HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsNLS1;OsPijx;OsRYMV3
HORVU.MOREX.r3.1HG0004460	Disease resistance protein (CC-NBS-LRR class) family;HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	Os11gRGA5, OsRGA5, RGA5-A, RGA5-B, Pi5, Pias-2
HORVU.MOREX.r3.1HG0004490	Disease resistance protein (CC-NBS-LRR class) family	Pi42(t), Pi-42(t)
HORVU.MOREX.r3.1HG0004540	pumilio 1 (PUM1);pumilio 2 (PUM2);pumilio 3 (PUM3)	
HORVU.MOREX.r3.1HG0004560	ERD (early-responsive to dehydration stress) family protein	OsOSCA1.1, OsIOSCA1.1, OsDDP1, DDP1, OsDDP1.1, OsDDP1.2, OsDDP1.3, OsDDP1.4;OsOSCA1.2, OsIOSCA1.2, OsDDP6, DDP6, OsDDP6.1, OsDDP6.2
HORVU.MOREX.r3.1HG0004640.1.CDS1	GRAS family transcription factor;SCARECROW-like 14 (SCL14)	OsGRAS23, OsGRAS-23, GRAS-23, OsGRAS22, GRAS22;OsSCL14, SCL14, OsGRAS-17, OsGRAS17, GRAS-17, DLN96, OsDLN96, OsGRAS15, GRAS15
HORVU.MOREX.r3.1HG0004650.1.CDS1	GRAS family transcription factor	OsSCL14, SCL14, OsGRAS-17, OsGRAS17, GRAS-17, DLN96, OsDLN96, OsGRAS15, GRAS15;OsZOS1-16
HORVU.MOREX.r3.1HG0004660	NAD(P)-binding Rossmann-fold superfamily protein	
HORVU.MOREX.r3.1HG0004670.1.CDS1	GRAS family transcription factor;SCARECROW-like 14 (SCL14)	OsSCL14, SCL14, OsGRAS-17, OsGRAS17, GRAS-17, DLN96, OsDLN96, OsGRAS15, GRAS15;OsZOS1-16
HORVU.MOREX.r3.1HG0004690	unknown protein	
HORVU.MOREX.r3.1HG0004730.1.CDS1	RING-H2 finger C2A (RHC2A);zinc finger (C3HC4-type RING finger) family protein	OsRFPH2-3, OsRING217, RING217;OsRFP, OsRING177, OsC3HC4_035, C3HC4_035;OsRFP, OsRING393, OsC3HC4_049, C3HC4_049;OsRING246, OsC3HC4_032, C3HC4_032
HORVU.MOREX.r3.1HG0004840.1.CDS1	GRAS family transcription factor	OsGRAS-56, OsGRAS56, GRAS-56, DLN259, OsDLN259, OsGRAS53, GRAS53;OsSCL14, SCL14, OsGRAS-17, OsGRAS17, GRAS-17, DLN96, OsDLN96, OsGRAS15, GRAS15
HORVU.MOREX.r3.1HG0004870	DEA(D/H)-box RNA helicase family protein;P-loop containing nucleoside triphosphate hydrolases superfamily protein	
HORVU.MOREX.r3.1HG0004880	Rab5-interacting family protein	
HORVU.MOREX.r3.1HG0004890	CONTAINS InterPro DOMAIN/s: Kinetochore-Ndc80 complex, subunit Spc25 (InterPro:IPR013255)	
HORVU.MOREX.r3.1HG0004940	Cysteine proteinases superfamily protein;senescence-associated gene 12 (SAG12);xylem cysteine peptidase 1 (XCP1)	AM39;OsSAG12
HORVU.MOREX.r3.1HG0005000	PAP20;purple acid phosphatase 18 (PAP18);purple acid phosphatase 21 (PAP21);purple acid phosphatase 22 (PAP22)	OsPAP18;OsPAP20a;OsPAP20b;OsPAP21a;OsPAP21b
HORVU.MOREX.r3.1HG0005040	APK1A;NAK	OsRLCK107;OsRLCK118;OsRLCK176;OsRLCK57
HORVU.MOREX.r3.1HG0005070	APK1A;botrytis-induced kinase1 (BIK1);NAK	OsRLCK107;OsRLCK118;OsRLCK176;OsRLCK57
HORVU.MOREX.r3.1HG0005090	Major facilitator superfamily protein;nitrate transporter 1.1 (NRT1.1)	OsNRT1.1A, NRT1.1A, OsNRT1.1A/ OsNPF6.3, OsNPF6.3;OsNRT1.1B, NRT1.1B, OsNPF6.5;OsNRT1.1C, OsNPF6.4, NPF6.4;OsNRT1.4
HORVU.MOREX.r3.1HG0005110.1.CDS1	Pentatricopeptide repeat (PPR) superfamily protein;rna processing factor 2 (RPF2);Tetratricopeptide repeat (TPR)-like superfamily protein	PPR794, PPR6, PPR6-794, PPR5
HORVU.MOREX.r3.1HG0005170	Leucine-rich repeat transmembrane protein kinase protein	OsMRLK1;OsMRLK34;OsMRLK35;OsMRLK37;OsMRLK49
HORVU.MOREX.r3.1HG0005190	Leucine-rich repeat protein kinase family protein;Leucine-rich repeat transmembrane protein kinase protein	OsMRLK1;OsMRLK34;OsMRLK35;OsMRLK37;OsMRLK38
HORVU.MOREX.r3.1HG0005200.1.CDS1	Chalcone and stilbene synthase family protein;LESS ADHESIVE POLLEN 5 (LAP5);LESS ADHESIVE POLLEN 6 (LAP6);TRANSPARENT TESTA 4 (TT4)	CHS*, Oschs, chs, chas, OsCHS, OsCHS1, CHS1, OsPKS26, PKS26, OsCHS24, CHS24, OsCHS27, CHS27;CHS, OsPKS12, OsCHS12, CHS12;OsCHS2, CHS2, OsPKS08, OsPKS8, PKS08, OsCHS8, CHS8;OsPKS16, OsCHS16, CHS16;OsPKS17, OsCHS17, CHS17
HORVU.MOREX.r3.1HG0005210	O-methyltransferase 1 (OMT1);O-methyltransferase family protein	COMT, OsCOMT, ROMT-9, OsCOMT1, OsCAldOMT1, CAldOMT1, OsOMT, OsCOMT15, COMT15, OsSPL42, SPL42;OsCOMTL1, OsCOMT27, COMT27;OsCOMTL2, OsCOMT3, COMT3;OsCOMTL5, OsCOMT4, COMT4;OsCOMTL6, OsCOMT5, COMT5, OsCOMTL4, COMTL4
HORVU.MOREX.r3.1HG0005220.1.CDS1	Chalcone and stilbene synthase family protein;LESS ADHESIVE POLLEN 5 (LAP5);LESS ADHESIVE POLLEN 6 (LAP6);TRANSPARENT TESTA 4 (TT4)	CHS*, Oschs, chs, chas, OsCHS, OsCHS1, CHS1, OsPKS26, PKS26, OsCHS24, CHS24, OsCHS27, CHS27;CHS, OsPKS12, OsCHS12, CHS12;OsCHS2, CHS2, OsPKS08, OsPKS8, PKS08, OsCHS8, CHS8;OsPKS16, OsCHS16, CHS16;OsPKS17, OsCHS17, CHS17
HORVU.MOREX.r3.1HG0005230.1.CDS1	Chalcone and stilbene synthase family protein;LESS ADHESIVE POLLEN 5 (LAP5);LESS ADHESIVE POLLEN 6 (LAP6);TRANSPARENT TESTA 4 (TT4)	CHS*, Oschs, chs, chas, OsCHS, OsCHS1, CHS1, OsPKS26, PKS26, OsCHS24, CHS24, OsCHS27, CHS27;CHS, OsPKS12, OsCHS12, CHS12;OsCHS2, CHS2, OsPKS08, OsPKS8, PKS08, OsCHS8, CHS8;OsPKS16, OsCHS16, CHS16;OsPKS17, OsCHS17, CHS17
HORVU.MOREX.r3.1HG0005240.1.CDS1	Chalcone and stilbene synthase family protein;LESS ADHESIVE POLLEN 5 (LAP5);LESS ADHESIVE POLLEN 6 (LAP6);TRANSPARENT TESTA 4 (TT4)	CHS*, Oschs, chs, chas, OsCHS, OsCHS1, CHS1, OsPKS26, PKS26, OsCHS24, CHS24, OsCHS27, CHS27;CHS, OsPKS12, OsCHS12, CHS12;OsCHS2, CHS2, OsPKS08, OsPKS8, PKS08, OsCHS8, CHS8;OsPKS16, OsCHS16, CHS16;OsPKS17, OsCHS17, CHS17
HORVU.MOREX.r3.1HG0005250.1.CDS1	Chalcone and stilbene synthase family protein;LESS ADHESIVE POLLEN 5 (LAP5);LESS ADHESIVE POLLEN 6 (LAP6);TRANSPARENT TESTA 4 (TT4)	CHS*, Oschs, chs, chas, OsCHS, OsCHS1, CHS1, OsPKS26, PKS26, OsCHS24, CHS24, OsCHS27, CHS27;CHS, OsPKS12, OsCHS12, CHS12;OsCHS2, CHS2, OsPKS08, OsPKS8, PKS08, OsCHS8, CHS8;OsPKS16, OsCHS16, CHS16;OsPKS17, OsCHS17, CHS17
HORVU.MOREX.r3.1HG0005260.1.CDS1	Chalcone and stilbene synthase family protein;LESS ADHESIVE POLLEN 5 (LAP5);LESS ADHESIVE POLLEN 6 (LAP6);TRANSPARENT TESTA 4 (TT4)	CHS*, Oschs, chs, chas, OsCHS, OsCHS1, CHS1, OsPKS26, PKS26, OsCHS24, CHS24, OsCHS27, CHS27;CHS, OsPKS12, OsCHS12, CHS12;OsCHS2, CHS2, OsPKS08, OsPKS8, PKS08, OsCHS8, CHS8;OsPKS16, OsCHS16, CHS16;OsPKS17, OsCHS17, CHS17
HORVU.MOREX.r3.1HG0005270.1.CDS1	Chalcone and stilbene synthase family protein;LESS ADHESIVE POLLEN 5 (LAP5);LESS ADHESIVE POLLEN 6 (LAP6);TRANSPARENT TESTA 4 (TT4)	CHS*, Oschs, chs, chas, OsCHS, OsCHS1, CHS1, OsPKS26, PKS26, OsCHS24, CHS24, OsCHS27, CHS27;CHS, OsPKS12, OsCHS12, CHS12;OsCHS2, CHS2, OsPKS08, OsPKS8, PKS08, OsCHS8, CHS8;OsPKS16, OsCHS16, CHS16;OsPKS17, OsCHS17, CHS17
HORVU.MOREX.r3.1HG0005340	Leucine-rich repeat protein kinase family protein;root hair specific 6 (RHS6)	OsMRLK1;OsMRLK34;OsMRLK35;OsMRLK36, OsMRLP8, MRLP8;OsMRLK37
HORVU.MOREX.r3.1HG0005350	Leucine-rich repeat protein kinase family protein;Leucine-rich repeat transmembrane protein kinase protein	OsMRLK1;OsMRLK34;OsMRLK35;OsMRLK37;OsMRLK49
HORVU.MOREX.r3.1HG0005360	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	
HORVU.MOREX.r3.1HG0005370	Replication factor-A protein 1-related;replication protein A 1A (RPA1A);RPA70C	OsRPA1, OsRPA70b, RPA70b;OsRPA70a, OsRPA1a, RPA1a;RPA1c, OsRPA1c
HORVU.MOREX.r3.1HG0005400	BUB (BUDDING UNINHIBITED BY BENZYMIDAZOL)  3.1 (BUB3.1);BUB (BUDDING UNINHIBITED BY BENZYMIDAZOL) 3.2 (BUB3.2);Transducin/WD40 repeat-like superfamily protein	OsWD40-145;OsWD40-156;OsWD40-20, OsDWD67, DWD67;OsWD40-76, OsDWD66, DWD66
HORVU.MOREX.r3.1HG0005410	RNI-like superfamily protein	OsFbox086, OsFbox86, Os_F0482, OsFBX48, FBX48;OsFbox087, OsFbox87, Os_F0536, OsFBL8, FBL8;OsFbox410, Os_F0192, OsFBX264, FBX264;OsFbox413, Os_F0321, OsFBL41, FBL41;OsFbox417, Os_F0682, OsFBL43, FBL43
HORVU.MOREX.r3.1HG0005420.1.CDS1	Glycosyltransferase family 61 protein	OsXAT7;OsXXAT1;OsXYXT2
HORVU.MOREX.r3.1HG0005440.1.CDS1	hAT dimerisation domain-containing protein / transposase-related;hAT family dimerisation domain	
HORVU.MOREX.r3.1HG0005450.1.CDS1	hAT dimerisation domain-containing protein / transposase-related;hAT family dimerisation domain	
HORVU.MOREX.r3.1HG0005490.1.CDS1	hAT family dimerisation domain;TTF-type zinc finger protein with HAT dimerisation domain	
HORVU.MOREX.r3.1HG0005580	outer plastid envelope protein 16-1 (OEP16-1)	
HORVU.MOREX.r3.1HG0005590	outer plastid envelope protein 16-1 (OEP16-1)	Tim17, OsTim17
HORVU.MOREX.r3.1HG0005610	pol-like 2 (PLL2);pol-like 3 (PLL3);pol-like 5 (PLL5);poltergeist like 4 (PLL4)	OsPP2C26, OsPP37;OsPP2C31, OsPP49;OsPP2C46, OsPP71;OsPP52;XB15, OsPP2C35, PP2C35, OsPP59, SIP35
HORVU.MOREX.r3.1HG0005620	Pectinacetylesterase family protein	
HORVU.MOREX.r3.1HG0005640	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	OsXinN1;rNBS56
HORVU.MOREX.r3.1HG0005750	XB3 ortholog 1 in Arabidopsis thaliana (XBAT31);XB3 ortholog 2 in Arabidopsis thaliana (XBAT32);XB3 ortholog 3 in Arabidopsis thaliana (XBAT33)	OsRING221;Xb3, OsRING223, RING223;XBOS31, OsRFPHC-7, OsRING222, RING222;XBOS35, OsRING350, RING350
HORVU.MOREX.r3.1HG0005770	Family of unknown function (DUF566) 	
HORVU.MOREX.r3.1HG0005790.1.CDS1	ENTH/ANTH/VHS superfamily protein;epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-related	OsANTH5;OsANTH6;OsANTH7;OsSTA37, OsANTH2
HORVU.MOREX.r3.1HG0005810	Transducin/WD40 repeat-like superfamily protein	
HORVU.MOREX.r3.1HG0005830	DNA binding with one finger 2.4 (DOF2.4);Dof-type zinc finger DNA-binding family protein;OBF-binding protein 3 (OBP3)	OsDof14, Dof14, OsDof-14, OsDof12, Dof12;OsDof16, Dof16, OsDof-16;OsDof19, Dof19, OsDof-19;OsDof21, Dof21, OsDof-21, OsCDF2, CDF2, OsDof22, Dof22;OsDof28, Dof28, OsDof-28, OsDof29, Dof29
HORVU.MOREX.r3.1HG0005840.1.CDS1	embryo defective 2735 (emb2735)	
HORVU.MOREX.r3.1HG0006070	homeodomain GLABROUS 11 (HDG11);homeodomain GLABROUS 1 (HDG1);homeodomain GLABROUS 7 (HDG7)	Roc4(t), Roc4, GL2-4, OsROC4, OsGL2-4, OsHDZ16, OsHDZIP16, HDZ16, HDZIP16;ROC8, Roc8(t), Roc8, OsROC8, GL2-8, CRM1, OsCRM1, Os URL1, OsHDZ20, OsHDZIP20, HDZ20, HDZIP20
HORVU.MOREX.r3.1HG0006160	Disease resistance protein (CC-NBS-LRR class) family;NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsNLS1;OsPijx
HORVU.MOREX.r3.1HG0006210	cell wall-associated kinase (WAK1);wall-associated kinase 2 (WAK2);wall associated kinase 3 (WAK3);wall associated kinase 4 (WAK4);wall associated kinase 5 (WAK5)	OsWAK13;OsWAK5;OsWAK51;OsWAK63
HORVU.MOREX.r3.1HG0006230	Disease resistance protein (CC-NBS-LRR class) family;NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsPijx
HORVU.MOREX.r3.1HG0006340	ACT domain-containing protein;ACT-like superfamily protein	
HORVU.MOREX.r3.1HG0006400	Galactosyltransferase family protein	
HORVU.MOREX.r3.1HG0006410	cell wall-associated kinase (WAK1);wall-associated kinase 2 (WAK2);wall associated kinase 3 (WAK3);wall associated kinase 4 (WAK4);wall associated kinase 5 (WAK5)	OsRLCK378;OsWAK104;OsWAK105, YK3;OsWAK95
HORVU.MOREX.r3.1HG0006420.1.CDS1	Disease resistance protein (CC-NBS-LRR class) family;RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRPM1
HORVU.MOREX.r3.1HG0006430.1.CDS1	S-domain-2 5 (SD2-5);S-locus lectin protein kinase family protein	OsSRK1;SDRLK-24, OsSDRLK-24, OsSDRLK24
HORVU.MOREX.r3.1HG0006440	NAD(P)-binding Rossmann-fold superfamily protein	OsSDP2
HORVU.MOREX.r3.1HG0006460.1.CDS1	Pathogenesis-related thaumatin superfamily protein	
HORVU.MOREX.r3.1HG0006480	cation/H+ exchanger 18 (CHX18);cation/H+ exchanger 20 (CHX20)	OsCHX12, OsCHX5, CHX5;OsCHX13, OsCHX4, CHX4;OsCHX14, OsCHX6, CHX6;OsCHX15, OsCHX17, CHX17
HORVU.MOREX.r3.1HG0006530		
HORVU.MOREX.r3.1HG0006570	actin depolymerizing factor 1 (ADF1);actin depolymerizing factor 3 (ADF3);actin depolymerizing factor 4 (ADF4)	OsADF1;OsADF11;OsADF5;OsADF6
HORVU.MOREX.r3.1HG0006610	histone H2A 10 (HTA10);histone H2A 12 (HTA12);histone H2A 6 (HTA6);histone H2A 7 (HTA7)	
HORVU.MOREX.r3.1HG0006650	histone H2A 10 (HTA10);histone H2A 12 (HTA12);histone H2A 6 (HTA6);histone H2A 7 (HTA7)	
HORVU.MOREX.r3.1HG0006660	pyrophosphorylase 1 (PPa1);pyrophosphorylase 3 (PPa3);pyrophosphorylase 4 (PPa4)	
HORVU.MOREX.r3.1HG0006690	NAD+ ADP-ribosyltransferases;poly(ADP-ribose) polymerase 2 (PARP2);poly(ADP-ribose) polymerase (PP)	OsEnS-38, OsPARP3;OsPARP1, PARP, OsPARP1.1, OsPARP1.2;OsPARP2A, OsPARP2, PARP2
HORVU.MOREX.r3.1HG0006720.1.CDS1	Leucine-rich receptor-like protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain;receptor like protein 52 (RLP52)	
HORVU.MOREX.r3.1HG0006730	EXCESS MICROSPOROCYTES1 (EMS1);HAESA (HAE);PEP1 receptor 2 (PEPR2);phytosulfokin receptor 1 (PSKR1);Protein kinase family protein with leucine-rich repeat domain	
HORVU.MOREX.r3.1HG0006740.1.CDS1	Leucine-rich receptor-like protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain;receptor like protein 52 (RLP52)	
HORVU.MOREX.r3.1HG0006770.1.CDS1	Leucine-rich receptor-like protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain;receptor like protein 52 (RLP52)	
HORVU.MOREX.r3.1HG0006780	EXCESS MICROSPOROCYTES1 (EMS1);HAESA (HAE);PEP1 receptor 2 (PEPR2);phytosulfokin receptor 1 (PSKR1);Protein kinase family protein with leucine-rich repeat domain	
HORVU.MOREX.r3.1HG0006840	Leucine-rich repeat protein kinase family protein;leucine-rich repeat transmembrane protein kinase family protein	OsSERK4, OsSERL9, OsSERK2, OsBAK1-5, OsTMS10, SERK4, SERL9, SERK2, BAK1-5, OsBAK1, BAK1;OsSERL1, OsBAK1-8, BAK1-8;OsSERL8, OsBAK1-6, BAK1-6, TMS10L
HORVU.MOREX.r3.1HG0006880.1.CDS1	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	
HORVU.MOREX.r3.1HG0007160	compromised recognition of TCV 1 (CRT1);Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein	OsMORC1;OsMORC6a;OsMORC6b;OsMORC6c, MORC6, OsMORC6
HORVU.MOREX.r3.1HG0007170	cytochrome c oxidase 10 (COX10)	
HORVU.MOREX.r3.1HG0007200	phosphoglucose isomerase 1 (PGI1);Sugar isomerase (SIS) family protein	Pgi1(Pgia), Pgia, Pgi_1, Pgi1, GPI-A, PHI-A, Pgi-a, PGI-a, OsPGI1c, PGI1c;Pgi2(Pgib), Pgib, Pgi_2, Pgi2, GPI-B, PGI-B, PHI-B, Pgi-b, PGI-b, SIS, OsSIS, OsPGI2
HORVU.MOREX.r3.1HG0007220	unknown protein	
HORVU.MOREX.r3.1HG0007230	phragmoplastin interacting protein 1 (PHIP1)	OsRRM1-101;OsRRM1-47
HORVU.MOREX.r3.1HG0007240.1.CDS1	C2H2-type zinc finger family protein;RESPONSIVE TO HIGH LIGHT 41 (RHL41);ZAT7	OsZOS1-14;OsZOS1-15;OsZOS3-09;OsZOS5-02
HORVU.MOREX.r3.1HG0007250.1.CDS1	C2H2-type zinc finger family protein;RESPONSIVE TO HIGH LIGHT 41 (RHL41)	OsZOS1-14;OsZOS1-15;OsZOS3-09;OsZOS3-20;OsZOS5-02
HORVU.MOREX.r3.1HG0007280.1.CDS1	Plant protein of unknown function (DUF247)	OsDUF247
HORVU.MOREX.r3.1HG0007290	ARM repeat superfamily protein	
HORVU.MOREX.r3.1HG0007340.1.CDS1	Protein of unknown function (DUF594)	
HORVU.MOREX.r3.1HG0007360	BRISTLED 1 (BST1);DNAse I-like superfamily protein	
HORVU.MOREX.r3.1HG0007590	ERD (early-responsive to dehydration stress) family protein	OsOSCA1.1, OsIOSCA1.1, OsDDP1, DDP1, OsDDP1.1, OsDDP1.2, OsDDP1.3, OsDDP1.4;OsOSCA1.2, OsIOSCA1.2, OsDDP6, DDP6, OsDDP6.1, OsDDP6.2
