QOZ80_1AG0000010	NC domain-containing protein-related	
QOZ80_1AG0002250	embryo defective 1796 (emb1796);glutamine-rich protein 23 (GRP23);Tetratricopeptide repeat (TPR)-like superfamily protein	PPR
QOZ80_1AG0002260	Protein of unknown function (DUF616)	OsTOD1
QOZ80_1AG0002290	Arabidopsis thaliana gibberellin 2-oxidase 1 (ATGA2OX1);gibberellin 2-oxidase 3 (ATGA2OX3);gibberellin 2-oxidase 4 (GA2OX4);gibberellin 2-oxidase 6 (GA2OX6);gibberellin 2-oxidase (GA2OX2)	GA2OX4, OsGA2ox4, ga2ox 4, OsGA2ox-4, OsSBI;OsGA2ox1, ga2ox-1, OsGA2ox-1, ga2ox, ga2ox 1, GA2ox1;OsGA2ox3, ga2ox 3, OsGA2ox-3, GA2ox3, GA2ox-3, GA2ox4;OsGA2ox7;OsGA2ox8
QOZ80_1AG0002320	CTC-interacting domain 11 (CID11);CTC-interacting domain 12 (CID12);CTC-interacting domain 8 (CID8);CTC-interacting domain 9 (CID9)	OsDCET1, RRM1-150, OsRRM1-150;OsRRM1-27;OsRRM1-3
QOZ80_1AG0002350	Alg9-like mannosyltransferase family	
QOZ80_1AG0002390	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein	
QOZ80_1AG0002400	GDSL-like Lipase/Acylhydrolase superfamily protein;SGNH hydrolase-type esterase superfamily protein	OsGELP101;OsGELP59, RMP7
QOZ80_1AG0002420	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein	
QOZ80_1AG0002430	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein	
QOZ80_1AG0002440	CADMIUM SENSITIVE 1 (CAD1)	OsPCS1, OsPCS2, PCS2, OsPCS15, PCS15;OsPCS, PCS, OsPCS2, PCS2, OsPCS2a, PCS2a, OsPCS2b, PCS2b, OsPCS1, PCS1, OsPCS1a, OsPCS1b, OsPCS1c, OsPCS1full, OsPCS5
QOZ80_1AG0002450	CADMIUM SENSITIVE 1 (CAD1)	OsPCS1, OsPCS2, PCS2, OsPCS15, PCS15;OsPCS, PCS, OsPCS2, PCS2, OsPCS2a, PCS2a, OsPCS2b, PCS2b, OsPCS1, PCS1, OsPCS1a, OsPCS1b, OsPCS1c, OsPCS1full, OsPCS5
QOZ80_1AG0002460	CBL-interacting protein kinase 12 (CIPK12);CBL-interacting protein kinase 20 (CIPK20);CBL-interacting protein kinase 2 (CIPK2);SOS3-interacting protein 1 (SIP1);SOS3-interacting protein 3 (SIP3)	OsCIPK02, CIPK2, OsCIPK2, OsSnRK3.26, SnRK3.26;OsCIPK05, CIPK5, OsCIPK5, OsSTA7, OsSnRK3.2, SnRK3.2;OsCIPK10, OsSnRK3.12, SnRK3.12;OsCIPK18, OsSnRK3.16, SnRK3.16;OsCIPK20, OsSnRK3.15, SnRK3.15
QOZ80_1AG0002480	CBL-interacting protein kinase 12 (CIPK12);CBL-interacting protein kinase 13 (CIPK13);CBL-interacting protein kinase 18 (CIPK18);CBL-interacting protein kinase 19 (CIPK19);CBL-interacting protein kinase 20 (CIPK20)	OsCIPK05, CIPK5, OsCIPK5, OsSTA7, OsSnRK3.2, SnRK3.2;OsCIPK13, OsSnRK3.1, SnRK3.1;OsCIPK18, OsSnRK3.16, SnRK3.16;OsCIPK19, OsPK4, OsPK04, Os-CIPK19, CIPK19, OsSnRK3.20, SnRK3.20;OsPK7, OsPK07, OsCIPK12, CIPK12, OsSnRK3.6, SnRK3.6
QOZ80_1AG0002490	dicarboxylate carrier 2 (DIC2);dicarboxylate carrier 3 (DIC3);Mitochondrial substrate carrier family protein;uncoupling protein 5 (UCP5)	
QOZ80_1AG0002500	peroxidase 2 (PA2);Peroxidase superfamily protein	prx2;prx30, OsPrx30;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
QOZ80_1AG0002510	BRASSINOSTEROID-INSENSITIVE 2 (BIN2);GSK3/SHAGGY-like protein kinase 1 (GSK1);SHAGGY-related protein kinase dZeta (SKdZeta)	GSK1, Os GSK1, OsGSK1, OsSK21/OsGSK1, OsSK21, SK21, OsGNP2;GSK2, Os GSK2, OsGSK2, Os BIN2, OsBIN2, BIN2/GSK2, OsSK22/OsGSK7, OsSK22, OsGSK7, SK22, GSK7, OsSK22/GSK2;GSK4, Os GSK4, OsGSK4, OsSKetha, OsSKETHA, OsSK24/OsGSK8, OsSK24, OsGSK8, SK24, GSK8;OsSK23/OsGSK4, OsSK23, OsGSK4, SK23, OsGSK3, GSK3;OsSKgamma, SKgamma, OsSK11/ OsGSK2, OsSK11, OsGSK2, SK11, GSK2, OsSK12, SK12
QOZ80_1AG0002520	3-hydroxyacyl-CoA dehydratase 1 (HCD1);delta(3), delta(2)-enoyl CoA isomerase 1 (ECI1);indole-3-butyric acid response 10 (IBR10)	
QOZ80_1AG0002560	subtilase 4.13 (SBT4.13);Subtilase family protein	OsSub25;OsSub29;OsSub46;OsSub54;OsSub63
QOZ80_1AG0002580	Transducin/WD40 repeat-like superfamily protein	OsWD40-8
QOZ80_1AG0002620	Curculin-like (mannose-binding) lectin family protein;D-mannose binding lectin protein with Apple-like carbohydrate-binding domain	OsSRK1
QOZ80_1AG0002640	Protein kinase superfamily protein;S-domain-2 5 (SD2-5)	OsMAK1;OsSRK1;SDRLK-24, OsSDRLK-24, OsSDRLK24
QOZ80_1AG0002660	Curculin-like (mannose-binding) lectin family protein;D-mannose binding lectin protein with Apple-like carbohydrate-binding domain	OsSRK1
QOZ80_1AG0002710	POLD3	
QOZ80_1AG0002720	Plant protein of unknown function (DUF641)	GIL1
QOZ80_1AG0002740	BEST Arabidopsis thaliana protein match is: Ran BP2/NZF zinc finger-like superfamily protein (TAIR:AT1G70650.2)	
QOZ80_1AG0002750	BES1/BZR1 homolog 1 (BEH1);BES1/BZR1 homolog 3 (BEH3);BES1/BZR1 homolog 4 (BEH4);BRI1-EMS-SUPPRESSOR 1 (BES1)	OsBZR1, Os BZR1, OsBES1-6, BES1-6;OsBZR2, OsBES1-2, BES1-2;OsBZR3, OsBES1-5, BES1-5;OsBZR4, OsBES1-4, BES1-4
QOZ80_1AG0002760	NOD26-like intrinsic protein 1;NOD26-like intrinsic protein 4;NOD26-like major intrinsic protein 1 (NLM1)	AM25, OsNIP1;4, NIP1-4, OsNIP1.4, NIP1.4;OsNIP1;1, NIP1-1, rMIP1, MIP1, OsNIP1.1, NIP1.1;OsNIP1;2, NIP1-2, OsNIP1.2, NIP1.2;OsNIP1;3, NIP1-3, OsNIP1.3, NIP1.3
QOZ80_1AG0002770	centroradialis (ATC);FLOWERING LOCUS T (FT);TERMINAL FLOWER 1 (TFL1);TWIN SISTER OF FT (TSF)	FT-L 3, OsFTL3, FTL3, FT-L3, RFT, OsRFT1;FT-L 8, OsFTL8;FTL, FT-L1, OsFTL1, FTL1;Hd3a, FT, qHD3(t)*, FT-L 2, OsFTL2, FT-L2, FTL2, OsHd3a;OsFTL13
QOZ80_1AG0002780	B-box zinc finger family protein;light-regulated zinc finger protein 1 (LZF1);SALT TOLERANCE (STO)	OsBBX13, BBX13, OsRIP1, RIP1;OsBBX14, BBX14, OsDBB3b, DBB3b;OsBBX16, OsDBB3a, BBX16, DBB3a;OsBBX1, OsDBB3c, BBX1, DBB3c;OsBBX30, BBX30
QOZ80_1AG0002800	AGAMOUS (AG);SEEDSTICK (STK);SHATTERPROOF 1 (SHP1)	MADS3, OsMADS3, OsMADS3(t), RMADS222, RAG1, rf3;OsMADS21, RMADS207;OsMADS58
QOZ80_1AG0002810	protodermal factor 1 (PDF1)	OsGAE1;OsRA68
QOZ80_1AG0002820	early nodulin-like protein 1 (ENODL1);early nodulin-like protein 3 (ENODL3);early nodulin-like protein 4 (ENODL4);early nodulin-like protein 9 (ENODL9)	OsENODL16;OsENODL18, OsELA3, ELA3, EN20, OsEN20;OsENODL1, OsELA1, ELA1;OsENODL2
QOZ80_1AG0002830	early nodulin-like protein 3 (ENODL3);early nodulin-like protein 9 (ENODL9)	OsENODL16;OsENODL2
QOZ80_1AG0002850	ralf-like 33 (RALFL33)	OsRALF-21, OsRALF21, RALF-21, OsRALF19, RALF19;OsRALF-3, OsRALF3, RALF-3, OsRALF17, RALF17
QOZ80_1AG0002860	VQ motif-containing protein	OsVQ21;OsVQ3
QOZ80_1AG0002870	high leaf temperature 1 (HT1);Protein kinase superfamily protein	
QOZ80_1AG0002880	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	OsSRR1, OsGT14;1, GT14;1
QOZ80_1AG0002890	Protein kinase superfamily protein	CKL10, Orysa;CKL10, OsCKL:10, CKL:10;Orysa;CKL2;Orysa;CKL4
QOZ80_1AG0002920	Integrase-type DNA-binding superfamily protein;TINY2 (TINY2);TINY (tny)	OsERF#032, OsERF032, OsERF32, AP2/EREBP#021, AP2/EREBP21, OsDREB2B;OsERF#034, OsERF034, OsERF34, AP2/EREBP#042, AP2/EREBP42;OsERF#037, OsERF037, OsERF37, AP2/EREBP#041, AP2/EREBP41;OsERF#039, OsERF039, OsERF39, AP2/EREBP#002, AP2/EREBP2
QOZ80_1AG0002930	mitotic phosphoprotein N' end (MPPN) family protein	
QOZ80_1AG0002940	Thioredoxin superfamily protein	
QOZ80_1AG0002950	ATHB-15;homeobox gene 8 (HB-8);PHABULOSA (PHB)	OSHB4, OsHox32, HOX32, OsHB4, Oshox32, PHB3, OsHDZ13, OsHDZIP13, HDZ13, HDZIP13;Oshox29, OsHox29, OSHB5, HB5;Oshox33, OsHox33, OSHB3, HB3, SIP22, OsSIP22, OsHDZ40, OsHDZIP40, HDZ40, HDZIP40;Oshox9, OsHox9, OsHB2, HB2, OSHB2, OsHDZ37, OsHDZIP37, HDZ37, HDZIP37
QOZ80_1AG0002970	Protein of unknown function (DUF1677)	
QOZ80_1AG0003000	P-loop containing nucleoside triphosphate hydrolases superfamily protein;sulphotransferase 12 (SOT12)	STV11, OsSOT1
QOZ80_1AG0003010	phosphoribosylaminoimidazole carboxylase family protein / AIR carboxylase family protein;phosphoribosylaminoimidazole carboxylase, putative / AIR carboxylase, putative	OsAIRC
QOZ80_1AG0003020	Protein of unknown function (DUF1677)	
QOZ80_1AG0003030	Chaperone DnaJ-domain superfamily protein	OsDjC2;OsDjC35;OsDjC58, DjC58, OsHSP40, HSP40, LM7, OsLM7, OsNAL11, NAL25, OsNAL25
QOZ80_1AG0003040	alpha/beta-Hydrolases superfamily protein	
QOZ80_1AG0003050	Polyketide cyclase/dehydrase and lipid transport superfamily protein	
QOZ80_1AG0003060	myb domain protein 50 (MYB50);myb domain protein 55 (MYB55);myb domain protein 61 (MYB61);myb domain protein 86 (MYB86)	OsMYB14, OsJAdMYB1, JAdMYB1, Os2R_MYB12, 2R_MYB12, MYB2-13, OsMYB2-13;OsMYB55/61, OsMYB55, MYB55, OsMYB61, MYB61, OsMYB61a, MYB61a, Os2R_MYB5, 2R_MYB5, MYB2-6, OsMYB2-6;OsMYB86;OsMYB86-L2, MYB86-L2, OsRLM1, Os2R_MYB59, 2R_MYB59, MYB2-69, OsMYB2-69;R2R3-MYB, OsMYB55/61-L, MYB55/61-L, OsMYB55, OsMYB61-L, MYB55, MYB61-L, OsMYB61L, MYB61L, OsMYB61b, MYB61b, Os2R_MYB53, 2R_MYB53, OsMYB2P-1, MYB2P-1, MYB2-62, OsMYB2-62
QOZ80_1AG0003080	unknown protein	
QOZ80_1AG0003090	cyclophilin 20-2 (CYP20-2);rotamase CYP 4 (ROC4)	OsCYP19-3, Cyp1, OsCYP-25, OsCYP19-2a, OsCYP19-2b;OsCYP20-1, OsCYP-17, OsCYP20-1a, OsCYP20-1b;OsCYP20-2, OsCYP-11, OsNuCYP20-2;OsCYP20-3, OsCYP-5
QOZ80_1AG0003100	germin-like protein 10 (GLP10);germin-like protein 5 (GLP5);germin-like protein 8 (GLP8);germin-like protein subfamily 2 member 2 precursor (GL22);RmlC-like cupins superfamily protein	GER8, OsGLP1-4, GLP1-4, OsGLP1-3, GLP1-3;OsGER4, OsGLP1-2, GLP1-2, OsGLP1-1, GLP1-1, OsCDP1.2, CDP1.2;OsGLP1-1, OsCDP1.1, CDP1.1;OsGLP3-2, OsCDP3.4, CDP3.4;OsGLP5-2, OsGLP5-1, GLP5-1, OsCDP5.2, CDP5.2
QOZ80_1AG0003120	germin-like protein 10 (GLP10);germin-like protein 5 (GLP5);germin-like protein 8 (GLP8);germin-like protein subfamily 2 member 2 precursor (GL22);RmlC-like cupins superfamily protein	GER8, OsGLP1-4, GLP1-4, OsGLP1-3, GLP1-3;OsGER4, OsGLP1-2, GLP1-2, OsGLP1-1, GLP1-1, OsCDP1.2, CDP1.2;OsGLP1-1, OsCDP1.1, CDP1.1;OsGLP3-2, OsCDP3.4, CDP3.4;OsGLP5-2, OsGLP5-1, GLP5-1, OsCDP5.2, CDP5.2
QOZ80_1AG0003130	germin-like protein 10 (GLP10);germin-like protein 5 (GLP5);germin-like protein subfamily 2 member 2 precursor (GL22);RmlC-like cupins superfamily protein	GER8, OsGLP1-4, GLP1-4, OsGLP1-3, GLP1-3;OsGER4, OsGLP1-2, GLP1-2, OsGLP1-1, GLP1-1, OsCDP1.2, CDP1.2;OsGLP1-1, OsCDP1.1, CDP1.1;OsGLP3-2, OsCDP3.4, CDP3.4;OsGLP5-2, OsGLP5-1, GLP5-1, OsCDP5.2, CDP5.2
QOZ80_1AG0003140	germin-like protein 10 (GLP10);germin-like protein 5 (GLP5);germin-like protein 8 (GLP8);germin-like protein subfamily 2 member 2 precursor (GL22);RmlC-like cupins superfamily protein	GER8, OsGLP1-4, GLP1-4, OsGLP1-3, GLP1-3;OsGER4, OsGLP1-2, GLP1-2, OsGLP1-1, GLP1-1, OsCDP1.2, CDP1.2;OsGLP1-1, OsCDP1.1, CDP1.1;OsGLP3-2, OsCDP3.4, CDP3.4;OsGLP5-2, OsGLP5-1, GLP5-1, OsCDP5.2, CDP5.2
QOZ80_1AG0003150	RHOMBOID-like protein 14 (RBL14)	OsRhmbd3
QOZ80_1AG0003250	Disease resistance protein (CC-NBS-LRR class) family;NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsPijx;OsRYMV3
QOZ80_1AG0003260	AGAMOUS-like 16 (AGL16);AGAMOUS-like 17 (AGL17);AGAMOUS-like 21 (AGL21)	OsMADS25;OsMADS27, MADS-27a, OsSTA66, OsMADS27a;OsMADS57, MADS-57
QOZ80_1AG0003270	gamma carbonic anhydrase 1 (GAMMA CA1);gamma carbonic anhydrase 2 (GAMMA CA2);gamma carbonic anhydrase 3 (GAMMA CA3)	
QOZ80_1AG0003280	BEST Arabidopsis thaliana protein match is: glycosyltransferase family protein 2 (TAIR:AT5G60700.1);glycosyltransferase family protein 2	
QOZ80_1AG0003290	beta-6 tubulin (TUB6);tubulin beta 8 (TUB8);tubulin beta chain 2 (TUB2);tubulin beta chain 3 (TUB3)	OsTUB1, TUBB1, OSTB-34;OsTUB2, TUBB2;OsTUB4, TUBB4, OSTB-16, R1623, RTUB-1, Ostub16;OsTUB6, TUBB6
QOZ80_1AG0003330	Transcription elongation factor (TFIIS) family protein	
QOZ80_1AG0003340	early nodulin-like protein 18 (ENODL18)	OsENODL24;OsENODL4
QOZ80_1AG0003350		
QOZ80_1AG0003380	F-box family protein	OsFbox006, OsFbox6, Os_F0083, OsFBX5, OsSTA12, OsFBX5, FBX5;OsFbox045, OsFbox45, Os_F0307, OsFBX27, FBX27
QOZ80_1AG0003390	embryo defective 1624 (emb1624);Translation initiation factor IF6	eIF-6, OseIF6, OseIF6.1, eIF6.1;Os-eIF6;2, eIF6;2, OseIF6.2, eIF6.2
QOZ80_1AG0003400	PENTATRICOPEPTIDE REPEAT 596 (PPR596)	
QOZ80_1AG0003410	ATCHR12;Homeotic gene regulator;ROOT GROWTH DEFECTIVE 3 (RGD3)	OsCHR714
QOZ80_1AG0003420	Polynucleotidyl transferase, ribonuclease H-like superfamily protein	
QOZ80_1AG0003430	TGACG motif-binding factor 6 (TGA6)	OsbZIP03, OsbZIP3, OsHBP1b, HBP1b, OsTGA5, TGA5, OsTGA5/OsbZIP3, rTGA2.3;OsbZIP08, OsbZIP8, OsTGA2, TGA2, OsTGA2/OsbZIP28;OsbZIP63, rTGA2.1, OsrTGA2.1, OsbZIP20, bZIP20
QOZ80_1AG0003440	Leucine-rich repeat (LRR) family protein;somatic embryogenesis receptor-like kinase 2 (SERK2)	OsI-BAK1, I-BAK1, OsBAK1;OsLRP, OsLRR1, LRR1
QOZ80_1AG0003450	anion transporter 1 (ANTR1);ANTR2;phosphate transporter 4	OsPT21;OsPT22, OsPHT4;3, PHT4;3;OsPT23;OsPT24, OsPHT4;4, PHT4;4;OsPT26
QOZ80_1AG0003470	zinc induced facilitator-like 1 (ZIFL1);zinc induced facilitator-like 2 (ZIFL2)	OsTOM1, ZIFL4, OsZIFL4;OsZIFL1;OsZIFL2, Os-mfs1, mfs1;OsZIFL5, OsTOM2, TOM2;OsZIFL7, OsTOM3, TOM3
QOZ80_1AG0003510	ATSBT5.2;subtilase 4.12 (SBT4.12);Subtilisin-like serine endopeptidase family protein;subtilisin-like serine protease 2 (SLP2)	OsSub3;OsSub45;OsSub55;OsSub59;OsSUB64
QOZ80_1AG0003520	DHHC-type zinc finger family protein	OsDHHC19;OsDHHC22;OsDHHC25;OsDHHC28;OsSub1, OsDHHC01, DHHC01, OsDHHC1, DHHC1
QOZ80_1AG0003530	COPPER RESPONSE DEFECT 1 (CRD1)	MTC, OsMTC, YGL8, OsYGL8, OsCRD1, CRD1, OsCRD, CRD, YL-1, PNZIP, OsPNZIP
QOZ80_1AG0003540	FUSCA 12 (FUS12)	OsCSN2;OsRpn6, Rpn6
QOZ80_1AG0003600	Zinc finger (C3HC4-type RING finger) family protein	OsRFPH2-9, OsRING129, RING129, OsvWA8, vWA8;OsRING104, OsvWA7, vWA7;OsvWA10, vWA10;OsvWA1, vWA1
QOZ80_1AG0003630	Class I glutamine amidotransferase-like superfamily protein	OsDJ-1A, DJ-1A;OsDJ-1B, DJ-1B;OsDJ-1D, DJ-1D, OsDJ-1D.1, OsDJ-1D.2, OsDJ-1D.3, OsDJ-1D.4, OsDJ-1D.5;OsDJ-1E, DJ-1E
QOZ80_1AG0003650	Trypsin family protein with PDZ domain	OsDegp1, DEGP1, OsDeg-like 1
QOZ80_1AG0003670	Chaperone DnaJ-domain superfamily protein	OsDjC4
QOZ80_1AG0003680	unknown protein	
QOZ80_1AG0003690	aminophospholipid ATPase 1 (ALA1);aminophospholipid ATPase 3 (ALA3);ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	osALA1;osALA2
QOZ80_1AG0003700	cycling DOF factor 1 (CDF1);cycling DOF factor 2 (CDF2);cycling DOF factor 3 (CDF3)	OsDof12, Dof12, OsDof-12, OsCDF1, OsCDF1/OsDOF12, OsDOF12, CDF1, DOF12, OsDof11, Dof11;OsDof23, Dof23, OsDof-23, OsDof1, OsCDF3, CDF3, OsDof24, Dof24;OsDof26, Dof26, OsDof-26, OsDof27, Dof27;OsDof4, Dof4, OsDof-4, Dof-4, OsDof3, Dof3;OsDof, OsDof2, Dof2, OsDof-2
QOZ80_1AG0003710	translocase inner membrane subunit 44-1 (TIM44-1);translocase inner membrane subunit 44-2 (TIM44-2)	
QOZ80_1AG0003730	PRIORITY IN SWEET LIFE 4 (PSL4);protein kinase C substrate, heavy chain-related	OsGAS2
QOZ80_1AG0003740	Pyruvate kinase family protein	OsPK3, OsPK5, PK5;OsPK4;OsPK7;PK, OsPK5, PK5
QOZ80_1AG0003750	RING/U-box superfamily protein	OsRFP, OsRING218, RING218;OsRING245, OsC3HC4_034, C3HC4_034;OsSIRP1, DLN148, OsDLN148, OsRING219, RING219, OsC3HC4_054, C3HC4_054;OsSTA11, OsRFP, OsRING98, OsC3HC4_004, C3HC4_004
QOZ80_1AG0003760	Presenilin-1 (PS1);Presenilin-2 (PS2)	
QOZ80_1AG0003770	MBOAT (membrane bound O-acyl transferase) family protein	OsWS1, WS1
QOZ80_1AG0003790	Eukaryotic porin family protein;translocase of the outer mitochondrial membrane 40 (TOM40)	NP1977, OsVDAC8, VDAC8, Os1977;OSVDAC7, osvdac7, OsVDAC7, TOM40, OsTOM40
QOZ80_1AG0003830	isocitrate dehydrogenase 1 (IDH1);isocitrate dehydrogenase III (IDH-III);isocitrate dehydrogenase subunit 2 (IDH2);isocitrate dehydrogenase V (IDH-V);isocitrate dehydrogenase VI (IDH-VI)	OsIDHa, ICDHc;OsIDHc;2, IDHc;2
QOZ80_1AG0003850	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein	
QOZ80_1AG0003860	serine carboxypeptidase-like 18 (scpl18);serine carboxypeptidase-like 19 (SCPL19);serine carboxypeptidase-like 3 (scpl3);serine carboxypeptidase-like 6 (scpl6)	OsSCP19;OsSCP56;OsSCP9
QOZ80_1AG0003890	ARGONAUTE 4 (AGO4);ARGONAUTE 9 (AGO9);PAZ domain-containing protein / piwi domain-containing protein	OsAGO4a, AGO4-2;OsAGO4b, AGO4-1
QOZ80_1AG0003900	ARGONAUTE 4 (AGO4);ARGONAUTE 6 (AGO6);ARGONAUTE 9 (AGO9);PAZ domain-containing protein / piwi domain-containing protein	OsAGO4a, AGO4-2;OsAGO4b, AGO4-1
QOZ80_1AG0003910	Disease resistance protein (CC-NBS-LRR class) family;NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13)	OsRYMV3
QOZ80_1AG0003970	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	YR1, YR7, YR11, YR20, YR22, YR24
QOZ80_1AG0003980	myb domain protein 105 (MYB105);myb domain protein 117 (MYB117);myb domain protein 56 (MYB56)	csa, OsCSA, MYB2-5, OsMYB2-5;OsMyb12, Os2R_MYB89, 2R_MYB89, MYB2-107, OsMYB2-107, OsMYB1, MYB1;OsMYB2-93;OsMYB52, OsMYB52/54, Os2R_MYB41, 2R_MYB41, MYB2-46, OsMYB2-46;R2R3-MYB, OsMYB44, MYB2-98, OsMYB2-98
QOZ80_1AG0003990	myb domain protein 105 (MYB105);myb domain protein 117 (MYB117);myb domain protein 56 (MYB56)	csa, OsCSA, MYB2-5, OsMYB2-5;Os2R_MYB54, MYB2-63, OsMYB2-63;OsMyb12, Os2R_MYB89, 2R_MYB89, MYB2-107, OsMYB2-107, OsMYB1, MYB1;OsMYB2-93;OsMYB52, OsMYB52/54, Os2R_MYB41, 2R_MYB41, MYB2-46, OsMYB2-46
QOZ80_1AG0004020	expansin A14 (EXPA14);expansin A15 (EXPA15);expansin A1 (EXPA1)	OsEXP2, OsEXP2(Os-EXP2), Os-EXP2, EXPA2, OsEXPA2, OsaEXPa1.23, RiExB, RiExC, Os-EXPA2;OsEXP4 (Os-EXP4), OsEXPA4, OsEXP4, Os-EXP4, OsaEXPa1.22;OsEXPA11, OsEXP11, osaEXPa1.25;OsEXPA5, OsEXP5, osaEXPa1.20;OsEXPA7, EXP7, OsEXP7, OsaEXPa1.26
QOZ80_1AG0004030	YUC10;YUC11;YUCCA 3 (YUC3);YUCCA4 (YUC4);YUCCA 9 (YUC9)	OsYUCCA10, OsYUC10;OsYUCCA11, OsYUC11, YUC11;OsYUCCA12, OsYUC12, YUC12;OsYUCCA14, OsYUC14;OsYUCCA9, OsYUC9, YUC9
QOZ80_1AG0004050	sterol-4alpha-methyl oxidase 1-1 (SMO1-1);sterol 4-alpha-methyl-oxidase 2-1 (SMO2-1);sterol 4-alpha-methyl-oxidase 2-2;sterol C4-methyl oxidase 1-2 (SMO1-2)	OsFAH2;OsGL1-10;OsGL1-11;OsGL1-8, GL1-8
QOZ80_1AG0004060	sterol-4alpha-methyl oxidase 1-1 (SMO1-1);sterol 4-alpha-methyl-oxidase 2-1 (SMO2-1);sterol 4-alpha-methyl-oxidase 2-2;sterol C4-methyl oxidase 1-2 (SMO1-2)	OsFAH2;OsGL1-10;OsGL1-11;OsGL1-8, GL1-8
QOZ80_1AG0004080	ATP-dependent caseinolytic (Clp) protease/crotonase family protein;CLP protease proteolytic subunit 1 (CLPR1);CLP protease R subunit 4 (CLPR4)	OsCLP3, OsClp3, CLP3;OsClp5, CLP5;OsClp8, CLP8, OsClpR1, ClpR1;OsClpR4, ClpR4, OsClp1, CLP1
QOZ80_1AG0004090	E1 C-terminal related 1 (ECR1);SUMO-activating enzyme 2 (SAE2)	OsSAE2, OsSAE2.1, OsSAE2.2, OsSAE2.3
QOZ80_1AG0004100	unknown protein	
QOZ80_1AG0004110	unknown protein	OsRDN, OsRDN1, RDN1
QOZ80_1AG0004120	early nodulin-like protein 1 (ENODL1);early nodulin-like protein 5 (ENODL5);early nodulin-like protein 7 (ENODL7);early nodulin-like protein 9 (ENODL9)	OsENODL14;OsENODL16;OsENODL18, OsELA3, ELA3, EN20, OsEN20;OsENODL3;OsENODL5
QOZ80_1AG0004160	ubiquitin-conjugating enzyme19 (UBC19);ubiquitin-conjugating enzyme 20 (UBC20);ubiquitin-conjugating enzyme 35 (UBC35);ubiquitin-conjugating enzyme 3 (UBC3)	OsUBC27;OsUBC7;OsUBC8;Rad6, OsRad6, Dhr6, OsUBC9, UBC9
QOZ80_1AG0004180	BSD domain-containing protein	
QOZ80_1AG0004190	Glutamyl/glutaminyl-tRNA synthetase, class Ic;ovule abortion 9 (OVA9)	OsERS1;OsERS2
QOZ80_1AG0004200	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	
QOZ80_1AG0004210	phosphoinositide 4-kinase gamma 1 (PI4K GAMMA 1);phosphoinositide 4-kinase gamma 7 (PI4K GAMMA 7);Protein kinase superfamily protein	
QOZ80_1AG0004220	Peroxidase superfamily protein	prx138;prx34, OsPrx34;prx4;prx89, OsPRX89
QOZ80_1AG0004230	cystatin-1 (CYS1);cystatin A (CYSA);cystatin B (CYSB);Cystatin/monellin family protein	Oc1*, Oc1, OC-I, SPOC-I, OsCP1, Oc, OCI, OsCYS1, OsPR6b, PR6b
QOZ80_1AG0004240	actin-11 (ACT11);actin 3 (ACT3);actin 9 (ACT9);actin-related protein 6 (ARP6)	act1, AC1, RAC1, RAc1, ACT11, OsACT1;OsARP6
QOZ80_1AG0004260	Glycosyl hydrolase family protein	
QOZ80_1AG0004270	GDP dissociation inhibitor family protein / Rab GTPase activator family protein;guanosine nucleotide diphosphate dissociation inhibitor 1 (GDI1);Rab escort protein (REP);RAB GDP dissociation inhibitor 2 (GDI2)	OsGDI5
QOZ80_1AG0004280	Aldolase superfamily protein	
QOZ80_1AG0004290	unknown protein	
QOZ80_1AG0004300	Ubiquitin-associated (UBA) protein	OsRhmbd2
QOZ80_1AG0004310	MATE efflux family protein	OsMATE1, OsMATE9, MATE9;OsMATE31;OsMATE35;OsMATE47
QOZ80_1AG0004350	Protein of unknown function, DUF617	OsEnS-19;OsSTA10
QOZ80_1AG0004380	DNA GYRASE B1 (GYRB1);DNA GYRASE B2;DNA GYRASE B2 (GYRB2)	OsTOP2
QOZ80_1AG0004390	zinc induced facilitator-like 2 (ZIFL2)	OsTOM1, ZIFL4, OsZIFL4;OsZIFL1;OsZIFL10, Os-mfs2, mfs2;OsZIFL2, Os-mfs1, mfs1
